Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
0,shamil abdurakhimov,Heavyweight,6.25,235,76,38,20,5,0
1,daichi abe,Welterweight,5.92,170,71,27,6,2,0
2,papy abedi,Welterweight,5.92,185,74,41,9,3,0
3,ricardo abreu,Middleweight,5.92,185,73,35,5,3,0
4,klidson abreu,Light Heavyweight,6.0,205,74,26,15,3,0
5,juan adams,Heavyweight,6.42,265,80,27,5,2,0
6,anthony adams,Middleweight,6.0,185,77,31,7,1,0
7,israel adesanya,Middleweight,6.33,185,80,30,18,0,0
8,jessica aguilar,Women's Strawweight,5.25,115,63,37,20,8,0
9,kevin aguilar,Featherweight,5.58,145,73,31,17,2,0
10,omari akhmedov,Welterweight,6.0,185,73,32,19,4,1
11,yoshihiro akiyama,Welterweight,5.83,170,73,44,14,6,0
12,rostem akman,Welterweight,5.83,170,72,27,6,2,0
13,mostapha al-turk,Heavyweight,6.17,245,77,46,6,6,0
14,herdem alacabek,Light Heavyweight,6.17,205,75,28,5,1,0
15,heili alateng,Women's Bantamweight,5.42,135,66,27,13,7,1
16,john albert,Bantamweight,5.67,135,68,33,7,5,0
17,junior albini,Heavyweight,6.25,264,74,28,14,6,0
18,alexandra albu,Women's Strawweight,5.17,115,63,29,7,1,0
19,iuri alcantara,Bantamweight,5.75,135,71,39,35,10,0
20,ildemar alcantara,Welterweight,6.17,185,78,36,21,8,0
21,irene aldana,Women's Bantamweight,5.75,135,68,31,11,5,0
22,hector aldana,Welterweight,5.92,170,72,31,4,4,0
23,jose aldo,Featherweight,5.58,145,70,33,28,5,0
24,jj aldrich,Women's Strawweight,5.42,125,67,27,8,3,0
25,jim alers,Featherweight,5.75,145,71,33,13,3,0
26,john alessio,Lightweight,5.83,155,72,40,34,16,0
27,houston alexander,Light Heavyweight,6.0,205,72,47,13,8,1
28,marcio alexandre junior,Welterweight,6.0,185,75,30,17,4,0
29,bill algeo,Featherweight,6.0,145,73,30,12,3,0
30,sultan aliev,Welterweight,5.92,170,74,35,15,3,0
31,john allan,Light Heavyweight,6.25,205,75,26,13,5,0
32,arnold allen,Featherweight,5.67,145,70,25,15,1,0
33,brendan allen,Middleweight,6.17,185,75,23,13,3,0
34,benny alloway,Welterweight,5.92,170,75,38,13,6,0
35,ricardo almeida,Welterweight,6.0,170,74,42,13,5,0
36,thomas almeida,Bantamweight,5.58,135,70,28,22,3,0
37,ericka almeida,Women's Strawweight,5.5,115,68,30,7,2,0
38,eddie alvarez,Lightweight,5.75,155,69,35,29,6,0
39,jaime alvarez,Flyweight,5.67,125,69,31,6,1,0
40,joel alvarez,Lightweight,6.25,155,77,25,16,2,0
41,thiago alves,Welterweight,5.75,170,70,36,28,14,0
42,warlley alves,Welterweight,5.92,170,72,28,14,3,0
43,sam alvey,Light Heavyweight,6.17,205,75,33,33,13,0
44,adlan amagov,Welterweight,6.17,170,76,32,13,2,1
45,alen amedovski,Middleweight,5.83,185,74,31,8,2,0
46,makwan amirkhani,Featherweight,5.83,145,72,30,15,3,0
47,eryk anders,Light Heavyweight,6.08,205,75,32,13,4,0
48,corey anderson,Light Heavyweight,6.25,205,79,30,13,4,0
49,megan anderson,Women's Featherweight,6.0,145,72,29,10,4,0
50,jessica andrade,Women's Strawweight,5.08,115,62,28,20,7,0
51,viscardi andrade,Welterweight,5.92,170,75,35,19,7,0
52,dylan andrews,Middleweight,6.08,185,73,39,18,8,0
53,magomed ankalaev,Light Heavyweight,6.25,205,75,27,11,1,0
54,nina ansaroff,Women's Strawweight,5.42,115,64,33,10,6,0
55,gadzhimurad antigulov,Light Heavyweight,5.92,205,70,32,20,6,0
56,adam antolin,Flyweight,5.42,125,63,37,12,3,0
57,zu anyanwu,Heavyweight,6.08,251,77,38,14,5,0
58,shinsho anzai,Welterweight,5.58,170,70,33,10,3,0
59,josh appelt,Heavyweight,5.83,255,73,36,15,6,0
60,felipe arantes,Bantamweight,5.67,135,73,31,18,10,1
61,igor araujo,Welterweight,6.08,170,77,38,25,8,0
62,viviane araujo,Women's Bantamweight,5.33,125,68,32,8,1,0
63,julio arce,Featherweight,5.58,145,70,29,16,3,0
64,andrei arlovski,Heavyweight,6.25,240,77,40,28,18,0
65,austin arnett,Featherweight,6.0,145,72,28,16,6,0
66,akbarh arreola,Lightweight,5.83,155,71,36,23,10,1
67,matt arroyo,Welterweight,5.83,170,72,37,3,3,0
68,antonio arroyo,Middleweight,6.25,185,73,30,8,2,0
69,cesar arzamendia,Lightweight,5.92,155,71,28,7,4,0
70,teddy ash,Middleweight,6.08,185,73,29,14,4,0
71,askar askarov,Flyweight,5.5,125,67,27,10,0,1
72,cyril asker,Heavyweight,6.0,247,74,33,9,4,0
73,scott askham,Middleweight,6.25,185,75,31,14,4,0
74,ben askren,Welterweight,5.92,170,73,35,19,1,0
75,junior assuncao,Featherweight,5.75,145,72,38,13,4,0
76,raphael assuncao,Bantamweight,5.42,135,66,37,27,7,0
77,rich attonito,Welterweight,5.83,170,72,42,10,5,0
78,olivier aubin-mercier,Lightweight,5.75,155,70,30,12,5,0
79,marcus aurelio,Lightweight,5.83,155,74,46,21,10,0
80,blas avena,Welterweight,6.0,170,74,36,7,6,0
81,chris avila,Featherweight,5.83,145,72,26,5,4,0
82,julia avila,Women's Bantamweight,5.58,135,68,31,7,1,0
83,jessin ayari,Welterweight,6.0,155,73,27,16,5,0
84,abu azaitar,Middleweight,5.75,185,76,33,14,1,1
85,ottman azaitar,Lightweight,5.67,155,71,29,12,0,0
86,hunter azure,Bantamweight,5.67,135,69,27,8,0,0
87,niklas backstrom,Featherweight,6.08,145,74,30,8,2,0
88,seth baczynski,Welterweight,6.25,170,74,37,18,11,0
89,ryan bader,Light Heavyweight,6.17,205,74,36,23,5,0
90,miguel baeza,Welterweight,6.17,170,74,27,8,0,0
91,ali bagautinov,Flyweight,5.33,125,65,34,14,5,0
92,mehdi baghdad,Lightweight,6.08,155,75,34,11,4,0
93,siyar bahadurzada,Welterweight,5.92,170,73,35,24,8,1
